Shortname,Officialname
Atlantis PD,Atlantis Police Department
Belle Glade,Belle Glade Police Department
Boca Raton PD,Boca Raton Police Services Department
Boynton Beach PD,Boynton Beach Police Department
Delray Beach PD,Delray Beach Police Department
FAU PD,Florida Atlantic University Police Department
FBI, FBI
Florida Highway Patrol,Florida Highway Patrol Training Academy
Fort Pierce PD,Fort Pierce Police Department
Greenacres PD,City Of Greenacres Department Of Public Safety
Juno Beach PD,Juno Beach Police Department
Jupiter PD,Jupiter Police Department
Lake Worth,Lake Worth Police Department
Lantana PD,Lantana Police Department
Martin County SO,Martin County Sheriff's Office
Okeechobee County SO,Okeechobee County Sheriff's Office
Palm Beach Gardens PD,Palm Beach Gardens Police Department
Palm Beach Shores PD,Palm Beach Shores Public Safety Department
Palm Springs PD,Palm Springs Public Safety Department
PBSO,Palm Beach County Sheriff's Office
Port St. Lucie PD,Port St. Lucie Police Department
Riviera Beach PD,Riviera Beach Police Department
St. Lucie County SO,St. Lucie County Sheriff's Office
Stuart PD,Stuart Police Department
U.S. Immigration and Customs Enforcement,U.S. Immigration and Customs Enforcement
U.S. Marshals Service,U.S. Marshals Service
West Palm Beach PD,West Palm Beach Police Department
