incidentid,officialname
LM120,"Atlantis Police Department"
LM127,"Belle Glade Police Department"
KL67,"Belle Glade Police Department"
LM10,"Boca Raton Police Services Department"
LM33,"Boca Raton Police Services Department"
LM50,"Boca Raton Police Services Department"
KL41,"Boca Raton Police Services Department"
KL48,"Boca Raton Police Services Department"
LM99,"Boca Raton Police Services Department"
LM125,"Boca Raton Police Services Department"
MQ3,"Boca Raton Police Services Department"
LM1,"Boynton Beach Police Department"
LM2,"Boynton Beach Police Department"
LM3,"Boynton Beach Police Department"
LM4,"Boynton Beach Police Department"
KL7,"Boynton Beach Police Department"
DC1,"Boynton Beach Police Department"
DC2,"Boynton Beach Police Department"
DC3,"Boynton Beach Police Department"
KL16,"Boynton Beach Police Department"
LM44,"Boynton Beach Police Department"
LM45,"Boynton Beach Police Department"
LM55,"Boynton Beach Police Department"
LM59,"Boynton Beach Police Department"
LM92,"Boynton Beach Police Department"
LM100,"Boynton Beach Police Department"
LM111,"Boynton Beach Police Department"
LM6,"Delray Beach Police Department"
LM7,"Delray Beach Police Department"
LM8,"Delray Beach Police Department"
LM9,"Delray Beach Police Department"
LM23,"Delray Beach Police Department"
LM123,"Delray Beach Police Department"
LM124,"Delray Beach Police Department"
LM126,"Delray Beach Police Department"
LM130,"Delray Beach Police Department"
LM106,"Florida Atlantic University Police Department"
LM119,"Florida Atlantic University Police Department"
MM2," FBI"
LM29," FBI"
LM5,"Florida Highway Patrol Training Academy"
LM67,"Florida Highway Patrol Training Academy"
LM78,"Florida Highway Patrol Training Academy"
KL14,"Fort Pierce Police Department"
LM11,"City Of Greenacres Department Of Public Safety"
LM113,"Juno Beach Police Department"
KL2,"Jupiter Police Department"
KL3,"Jupiter Police Department"
KL4,"Jupiter Police Department"
KL5,"Jupiter Police Department"
LM122,"Jupiter Police Department"
LM117,"Lake Worth Police Department"
LM121,"Lake Worth Police Department"
LM128,"Lake Worth Police Department"
KL1,"Lantana Police Department"
LM47,"Lantana Police Department"
KL57,"Martin County Sheriff's Office"
KL58,"Martin County Sheriff's Office"
KL59,"Martin County Sheriff's Office"
KL61,"Martin County Sheriff's Office"
LM38,"Okeechobee County Sheriff's Office"
KL46,"Okeechobee County Sheriff's Office"
KL6,"Palm Beach Gardens Police Department"
MM7,"Palm Beach Gardens Police Department"
LM107,"Palm Beach Shores Public Safety Department"
LM114,"Palm Springs Public Safety Department"
LM116,"Palm Springs Public Safety Department"
LM118,"Palm Springs Public Safety Department"
KL8,"Palm Beach County Sheriff's Office"
KL17,"Palm Beach County Sheriff's Office"
LM12,"Palm Beach County Sheriff's Office"
KL18,"Palm Beach County Sheriff's Office"
LM13,"Palm Beach County Sheriff's Office"
KL19,"Palm Beach County Sheriff's Office"
LM14,"Palm Beach County Sheriff's Office"
LM16,"Palm Beach County Sheriff's Office"
LM18,"Palm Beach County Sheriff's Office"
LM19,"Palm Beach County Sheriff's Office"
LM20,"Palm Beach County Sheriff's Office"
LM21,"Palm Beach County Sheriff's Office"
LM24,"Palm Beach County Sheriff's Office"
LM25,"Palm Beach County Sheriff's Office"
LM26,"Palm Beach County Sheriff's Office"
LM28,"Palm Beach County Sheriff's Office"
LM29,"Palm Beach County Sheriff's Office"
LM30,"Palm Beach County Sheriff's Office"
KL20,"Palm Beach County Sheriff's Office"
LM33,"Palm Beach County Sheriff's Office"
KL22,"Palm Beach County Sheriff's Office"
LM34,"Palm Beach County Sheriff's Office"
KL23,"Palm Beach County Sheriff's Office"
LM31,"Palm Beach County Sheriff's Office"
LM36,"Palm Beach County Sheriff's Office"
KL24,"Palm Beach County Sheriff's Office"
